"","price_per_sqmt","facing_direction","floor_level","decoration"
"209",32917,"South","high","other"
"210",30268,"South","middle","other"
"211",72840,"East/West","top","simple"
"212",66709,"South","top","refined"
"213",44860,"South","first","other"
"214",99071,"South","high","refined"
"215",95605,"South","low","simple"
"216",86755,"South","middle","simple"
"217",93962,"South","middle","refined"
"218",90839,"South","high","refined"
"219",96229,"South","low","refined"
"220",94413,"South","middle","other"
"221",101735,"South","middle","refined"
"222",88683,"South","middle","other"
"223",102041,"South","middle","simple"
"224",99403,"South","middle","refined"
"225",78795,"South","middle","refined"
"226",66546,"South","middle","refined"
"227",74535,"South","middle","refined"
"228",65270,"South","middle","refined"
"229",62923,"South","middle","refined"
"230",46559,"South","low","refined"
"231",65451,"South","high","refined"
"232",57221,"South","middle","simple"
"233",58976,"South","middle","refined"
"234",58702,"South","middle","refined"
"235",53470,"South","middle","refined"
"236",59752,"South","high","refined"
"237",55015,"South","middle","refined"
"238",54062,"South","middle","refined"
"239",54866,"South","middle","refined"
"240",56575,"South","low","other"
"241",55542,"South","middle","other"
"242",55518,"South","first","other"
"243",56833,"South","low","other"
"244",40266,"South","high","other"
"245",49799,"South","middle","other"
"246",49794,"South","low","other"
"247",28898,"South","middle","other"
"248",41128,"South","high","other"
"249",37464,"South","middle","other"
"250",41464,"South","middle","other"
"251",27221,"South","first","other"
"252",37115,"South","middle","other"
"253",92135,"South","high","other"
"254",89636,"South","low","simple"
"255",89537,"South","middle","refined"
"256",84385,"South","middle","simple"
"257",87679,"East/West","high","refined"
"258",87063,"North","low","simple"
"259",87180,"South","high","refined"
"260",86037,"South","middle","simple"
"261",90070,"South","high","simple"
"262",59692,"South","middle","simple"
"263",55732,"South","top","simple"
"264",47319,"South","middle","simple"
"265",36954,"South","high","other"
"266",35596,"South","first","other"
"267",34874,"South","top","other"
"268",35261,"South","high","other"
"269",33991,"South","low","other"
"270",94337,"South","high","other"
"271",102833,"South","first","refined"
"272",84816,"East/West","top","other"
"273",85679,"South","high","simple"
"274",97926,"East/West","first","other"
"275",86351,"South","middle","simple"
"276",85678,"South","high","simple"
"277",87934,"North","middle","simple"
"278",96990,"East/West","middle","other"
"279",77742,"East/West","middle","simple"
"280",63493,"East/West","low","other"
"281",55468,"South","high","refined"
"282",49948,"East/West","top","refined"
"283",51643,"South","top","simple"
"284",53628,"South","middle","other"
"285",44666,"South","low","other"
"286",38902,"South","middle","other"
"287",106535,"South","low","refined"
"288",1e+05,"South","top","other"
"289",108451,"South","middle","simple"
"290",61899,"South","first","refined"
"291",55842,"South","top","refined"
"292",55161,"South","middle","other"
"293",51725,"South","first","simple"
"294",45926,"South","middle","simple"
"295",47687,"South","middle","simple"
"296",58056,"South","first","other"
"297",36667,"South","top","other"
"298",32875,"South","first","other"
"299",108603,"South","first","simple"
"300",101692,"South","low","refined"
"301",85758,"South","high","refined"
"302",77928,"South","top","simple"
"303",80283,"South","first","simple"
"304",70114,"South","first","refined"
"305",64540,"South","middle","refined"
"306",65618,"South","middle","simple"
"307",55128,"South","first","simple"
"308",53066,"South","high","other"
"309",55663,"South","middle","simple"
"310",56519,"South","low","other"
"311",55342,"South","top","other"
"312",80775,"South","middle","simple"
"313",74828,"South","middle","simple"
"314",74690,"South","low","simple"
"315",72825,"South","first","simple"
"316",92670,"South","top","refined"
"317",69616,"North","first","simple"
"318",50622,"South","low","refined"
"319",49809,"South","top","simple"
"320",52029,"South","low","other"
"321",44261,"South","high","refined"
"322",34855,"South","top","other"
"323",104770,"South","top","simple"
"324",102087,"South","middle","simple"
"325",107143,"South","low","other"
"326",103821,"South","high","simple"
"327",109485,"South","high","refined"
"328",111975,"South","top","refined"
"329",118123,"South","middle","bare"
"330",111423,"South","high","refined"
"331",94415,"South","top","refined"
"332",89107,"South","high","simple"
"333",88313,"South","low","simple"
"334",77021,"South","middle","refined"
"335",78253,"South","high","refined"
"336",81444,"South","high","simple"
"337",64057,"South","middle","simple"
"338",53062,"South","high","simple"
"339",47809,"South","high","simple"
"340",59405,"South","middle","other"
"341",48232,"South","low","other"
"342",52823,"South","middle","other"
"343",43815,"South","high","other"
"344",42435,"South","middle","other"
"345",38261,"South","middle","other"
"346",37331,"East/West","middle","other"
"347",62161,"South","top","other"
"348",65543,"South","middle","refined"
"349",54749,"East/West","middle","simple"
"350",56740,"South","top","other"
"351",56970,"South","top","other"
"352",34145,"South","middle","other"
"353",32394,"South","middle","other"
"354",74529,"North","first","simple"
"355",85582,"South","high","refined"
"356",83231,"South","low","refined"
"357",72995,"North","low","simple"
"358",81508,"South","middle","refined"
"359",75793,"North","low","other"
"360",82375,"South","low","refined"
"361",72912,"South","middle","other"
"362",77009,"South","low","simple"
"363",79894,"South","middle","other"
"364",87256,"South","high","simple"
"365",90274,"South","high","other"
"366",80886,"North","middle","simple"
"367",83178,"South","high","refined"
"368",86137,"South","middle","refined"
"369",76721,"North","first","simple"
"370",72464,"East/West","middle","refined"
"371",71658,"South","middle","refined"
"372",59206,"South","low","refined"
"373",55295,"North","middle","refined"
"374",76667,"South","low","refined"
"375",53047,"North","high","refined"
"376",59303,"South","low","refined"
"377",58480,"South","low","refined"
"378",49840,"North","middle","other"
"379",46093,"North","high","refined"
"380",43071,"East/West","top","refined"
"381",89430,"East/West","middle","refined"
"382",92312,"South","middle","other"
"383",91220,"South","high","other"
"384",90910,"South","high","refined"
"385",85613,"South","high","refined"
"386",81464,"East/West","low","refined"
"387",85217,"East/West","high","simple"
"388",83742,"North","low","refined"
"389",84716,"North","middle","refined"
"390",78767,"East/West","middle","refined"
"391",54105,"East/West","middle","refined"
"392",62540,"South","high","simple"
"393",50561,"North","low","other"
"394",49020,"North","low","other"
"395",46877,"East/West","high","simple"
"396",46874,"East/West","low","refined"
"397",43539,"East/West","middle","simple"
"398",48862,"South","high","refined"
"399",44632,"East/West","low","refined"
"400",47373,"East/West","low","other"
"401",54072,"East/West","middle","other"
"402",45475,"East/West","middle","other"
"403",77561,"South","first","simple"
"404",91208,"South","high","refined"
"405",81373,"East/West","low","refined"
"406",74147,"South","middle","refined"
"407",36019,"East/West","middle","simple"
"408",36529,"South","top","refined"
"409",34244,"East/West","middle","refined"
"410",38348,"East/West","high","simple"
"411",37339,"East/West","middle","simple"
"412",34648,"East/West","low","refined"
"413",32415,"South","low","simple"
"414",32090,"East/West","middle","refined"
"415",31914,"East/West","middle","refined"
"416",36709,"North","middle","simple"
"417",38617,"East/West","middle","bare"
"418",36604,"East/West","low","other"
"419",31621,"East/West","middle","other"
"420",31621,"East/West","middle","other"
"421",34984,"East/West","high","other"
"422",33275,"East/West","low","other"
"423",33703,"East/West","high","other"
"424",31681,"South","high","other"
"425",26630,"East/West","middle","other"
"426",26980,"South","middle","other"
"427",26751,"South","middle","other"
"428",27127,"East/West","middle","other"
"429",28257,"East/West","low","other"
"430",27920,"East/West","low","other"
"431",25027,"East/West","low","other"
"432",26329,"East/West","middle","other"
"433",84027,"South","middle","other"
"434",83516,"South","middle","simple"
"435",79551,"North","low","other"
"436",78512,"East/West","low","simple"
"437",77379,"East/West","middle","other"
"438",88638,"North","middle","refined"
"439",80425,"South","middle","simple"
"440",80663,"East/West","middle","refined"
"441",84496,"South","high","refined"
"442",82320,"South","middle","refined"
"443",59992,"South","top","refined"
"444",88789,"South","middle","simple"
"445",101431,"South","high","refined"
"446",79010,"South","low","refined"
"447",68719,"South","top","simple"
"448",87017,"South","middle","simple"
"449",76747,"South","middle","simple"
"450",90219,"South","top","other"
"451",74446,"South","middle","simple"
"452",76622,"South","first","simple"
"453",76658,"South","middle","other"
"454",79862,"East/West","high","simple"
"455",75615,"South","middle","simple"
"456",75902,"North","middle","other"
"457",73100,"South","middle","other"
"458",68182,"South","first","simple"
"459",71414,"South","top","refined"
"460",63077,"South","first","bare"
"461",60452,"South","low","simple"
"462",61961,"South","middle","simple"
"463",60050,"South","low","simple"
"464",67440,"South","middle","simple"
"465",62203,"South","top","refined"
"466",62044,"South","high","simple"
"467",66075,"South","middle","simple"
"468",86797,"South","first","simple"
"469",86044,"South","low","simple"
"470",86991,"North","middle","simple"
"471",92068,"South","top","refined"
"472",91106,"East/West","middle","simple"
"473",76840,"South","top","refined"
"474",76104,"South","high","simple"
"475",73290,"South","high","refined"
"476",54941,"South","low","simple"
"477",55195,"South","middle","simple"
"478",56591,"South","middle","simple"
"479",56169,"South","high","other"
