price_per_sqmt,facing_direction,floor_level,decoration
90070.0,South,high,simple
59692.0,South,middle,simple
55732.0,South,top,simple
47319.0,South,middle,simple
36954.0,South,high,other
35596.0,South,first,other
34874.0,South,top,other
35261.0,South,high,other
33991.0,South,low,other
94337.0,South,high,other
102833.0,South,first,refined
84816.0,East/West,top,other
85679.0,South,high,simple
97926.0,East/West,first,other
86351.0,South,NA,NA
85678.0,South,NA,NA
87934.0,North,middle,simple
96990.0,East/West,middle,other
77742.0,East/West,middle,simple
63493.0,East/West,low,other
55468.0,South,high,refined
49948.0,East/West,top,refined
51643.0,South,top,simple
53628.0,South,middle,other
44666.0,South,low,other
38902.0,South,middle,other
106535.0,South,NA,NA
100000.0,South,top,other
108451.0,South,NA,NA
61899.0,South,first,refined
55842.0,South,top,refined
55161.0,South,middle,other
51725.0,South,first,simple
45926.0,South,middle,simple
47687.0,South,middle,simple
58056.0,South,first,other
36667.0,South,top,other
32875.0,South,first,other
108603.0,South,first,simple
101692.0,South,low,refined
85758.0,South,high,refined
77928.0,South,top,simple
80283.0,South,first,simple
70114.0,South,first,refined
64540.0,South,middle,refined
65618.0,South,middle,simple
55128.0,South,first,simple
53066.0,South,high,other
55663.0,South,middle,simple
56519.0,South,low,other
55342.0,South,top,other
80775.0,South,middle,simple
74828.0,South,middle,simple
74690.0,South,low,simple
72825.0,South,first,simple
92670.0,South,top,refined
69616.0,North,first,simple
50622.0,South,low,refined
49809.0,South,top,simple
52029.0,South,low,other
44261.0,South,high,refined
34855.0,South,top,other
104770.0,South,top,simple
102087.0,South,middle,simple
107143.0,South,low,other
103821.0,South,high,simple
109485.0,South,high,refined
111975.0,South,top,refined
118123.0,South,middle,bare
111423.0,South,high,refined
94415.0,South,top,refined
89107.0,South,high,simple
88313.0,South,low,simple
77021.0,South,middle,refined
78253.0,South,high,refined
81444.0,South,high,simple
64057.0,South,middle,simple
53062.0,South,high,simple
47809.0,South,high,simple
59405.0,South,middle,other
48232.0,South,low,other
52823.0,South,middle,other
43815.0,South,high,other
42435.0,South,middle,other
38261.0,South,middle,other
37331.0,East/West,middle,other
62161.0,South,top,other
65543.0,South,middle,refined
54749.0,East/West,middle,simple
56740.0,South,top,other
56970.0,South,top,other
34145.0,South,middle,other
32394.0,South,middle,other
74529.0,North,first,simple
85582.0,South,high,refined
83231.0,South,low,refined
72995.0,North,low,simple
81508.0,South,middle,refined
75793.0,North,low,other
82375.0,South,low,refined
72912.0,South,middle,other
77009.0,South,low,simple
79894.0,South,middle,other
87256.0,South,high,simple
90274.0,South,high,other
80886.0,North,middle,simple
83178.0,South,high,refined
86137.0,South,middle,refined
76721.0,North,first,simple
72464.0,East/West,middle,refined
71658.0,South,middle,refined
59206.0,South,low,refined
55295.0,North,middle,refined
76667.0,South,low,refined
53047.0,North,high,refined
59303.0,South,low,refined
58480.0,South,low,refined
49840.0,North,middle,other
46093.0,North,high,refined
43071.0,East/West,top,refined
89430.0,East/West,middle,refined
92312.0,South,middle,other
91220.0,South,high,other
90910.0,South,high,refined
85613.0,South,high,refined
81464.0,East/West,low,refined
85217.0,East/West,high,simple
83742.0,North,low,refined
84716.0,North,NA,NA
78767.0,East/West,middle,refined
54105.0,East/West,middle,refined
62540.0,South,high,simple
50561.0,North,low,other
49020.0,North,low,other
46877.0,East/West,high,simple
46874.0,East/West,low,refined
43539.0,East/West,middle,simple
48862.0,South,high,refined
44632.0,East/West,low,refined
47373.0,East/West,low,other
54072.0,East/West,middle,other
45475.0,East/West,middle,other
77561.0,South,first,simple
91208.0,South,high,refined
81373.0,East/West,NA,NA
74147.0,South,middle,refined
36019.0,East/West,middle,simple
36529.0,South,NA,NA
34244.0,East/West,middle,refined
38348.0,East/West,high,simple
37339.0,East/West,middle,simple
34648.0,East/West,low,refined
32415.0,South,low,simple
32090.0,East/West,middle,refined
31914.0,East/West,middle,refined
36709.0,North,middle,simple
38617.0,East/West,middle,bare
36604.0,East/West,low,other
31621.0,East/West,middle,other
31621.0,East/West,middle,other
34984.0,East/West,high,other
33275.0,East/West,low,other
33703.0,East/West,high,other
31681.0,South,high,other
26630.0,East/West,middle,other
26980.0,South,middle,other
26751.0,South,middle,other
27127.0,East/West,middle,other
28257.0,East/West,low,other
27920.0,East/West,low,other
25027.0,East/West,low,other
26329.0,East/West,middle,other
84027.0,South,middle,other
83516.0,South,middle,simple
79551.0,North,low,other
78512.0,East/West,low,simple
77379.0,East/West,middle,other
88638.0,North,middle,refined
80425.0,South,middle,simple
80663.0,East/West,middle,refined
84496.0,South,high,refined
82320.0,South,middle,refined
59992.0,South,top,refined
88789.0,South,middle,simple
101431.0,South,high,refined
79010.0,South,low,refined
68719.0,South,top,simple
87017.0,South,middle,simple
76747.0,South,middle,simple
90219.0,South,top,other
74446.0,South,middle,simple
76622.0,South,first,simple
76658.0,South,middle,other
79862.0,East/West,high,simple
75615.0,South,middle,simple
75902.0,North,middle,other
73100.0,South,middle,other
68182.0,South,first,simple
71414.0,South,top,refined
